firstname,lastname,grad_school,grad_school_code,highest_degree,grad_year,university,university_code,title,department
Mary Lee,Batesko,Rutgers University,233,Ph.D.,,Georgian Court University,,Professor,Education Department
Cathrine,Beaunae,"University of Florida, Gainesville",220,Ph.D.,,Georgian Court University,,Assistant Professor,School of Education
Scott H.,Bennett,Rutgers University,233,Ph.D.,,Georgian Court University,,Professor of History,"History, Geography & Political Sci Dept"
Carolyn,Bergman,"Ph.D., University of Pennsylvania,",,Ph.D.,,Georgian Court University,,Associate Professor,Biology Department
Eduard,Bitto,"University of Illinois, Springfield",125,Ph.D.,,Georgian Court University,,"Associate Professor, Chair",Chemistry & Biochemistry Department
Jane,Bliss-Holtz,"Doctor of Nursing Science, University of Pennsylvania Graduate School of Nursing, Philadelphia, PA,",,Ph.D.,,Georgian Court University,,Associate Chair,School of Nursing
Brunella,Bowditch,"George Washington University, Foggy Bottom Campus",29,Ph.D.,,Georgian Court University,,Associate Professor,Biology
Theresa,Brown,Bowling Green State University,344,Ph.D.,,Georgian Court University,,Professor,Psychology and Counseling
Jessica,Burkholder,Kent State University,339,Ph.D.,,Georgian Court University,,Assistant Professor,Psychology and Counseling
Nancy,Burns-Sardone,New York University,72,Ph.D.,,Georgian Court University,,Assistant Professor,Education Department
Tom,Crawley,New York University,72,Ph.D.,,Georgian Court University,,Associate Professor,Education Department
Jo Ann,Cummings,Rutgers University,233,Ph.D.,,Georgian Court University,,Assistant Professor,Nursing
Kasturi,Dasgupta,"Louisiana State University, New Orleans/Medical",240,Ph.D.,,Georgian Court University,,Professor,"Sociology, Criminal Justice & Anthropology Dept."
Lynn,DeCapua,Fordham University,338,Ph.D.,,Georgian Court University,,"Professor, Dean of SOE",Education Department
Lisa,Dille,Columbia University,246,Ph.D.,,Georgian Court University,,Assistant Professor,Education Department
Gloria,Edwards,"University of Illinois, Springfield",125,Ph.D.,,Georgian Court University,,Associate Professor of Education,Teacher Education
Susan E. O.,Field,Harvard University,22,Ph.D.,,Georgian Court University,,Professor and Chair,Psychology and Counseling
Claire,Gallagher,University of Pittsburgh,143,Ph.D.,,Georgian Court University,,Professor,Education Department
Joseph F.,Gower,University of Notre Dame,116,Ph.D.,,Georgian Court University,,Chair and Professor,"Religious Studies, Theology and Philosphy"
Michael,Gross,University of Delaware,279,Ph.D.,,Georgian Court University,,Associate Provost/Professor,Academic Program Development
Linda,James,"Indiana University, Bloomington",284,Ph.D.,,Georgian Court University,,Professor,Psychology and Counseling
Jonathan,Kim-Reuter,"Ph.D., Philosophy, New School for Social Research,",,Ph.D.,,Georgian Court University,,Associate Professor,Department of Philosophy and Religious Studies
Sachiko,Komagata,Temple University,303,Ph.D.,,Georgian Court University,,Associate Professor Holistic Health & Exercise Science,Holistic Health
Jacqueline,Kress,"Doctor of Education, Rutgers, The State University,",,Ph.D.,,Georgian Court University,,Professor,School of Education
Robert,Louden,"CUNY, Graduate Center",94,Ph.D.,,Georgian Court University,,Professor,Sociology / Anthropology / Criminal Justice
Pamela,Lowry,"Ed.D. Rutgers the State University New Brunswick,",,Ph.D.,,Georgian Court University,,Assistant Professor,School of Education  - Special Education
Lindiwe,Magaya,"Southern Illinois University, Carbondale",131,Ph.D.,,Georgian Court University,,Associate Professor of Education,School of Education
Gina,Marcello,Rutgers University,233,Ph.D.,,Georgian Court University,,Assistant Professor,Communication
Russell,McDonald,"University of Michigan, Flint",112,Ph.D.,,Georgian Court University,,Assistant Professor,Department of English
Cynthia,Ninivaggi,Temple University,303,Ph.D.,,Georgian Court University,,Associate Professor,"Sociology,CrimJustic, & Anthropology Dep"
Susan Lauffer,O'Hara,Rutgers University,233,Ph.D.,,Georgian Court University,,Professor,Department of English
Jean,Parry,Rutgers University,233,Ph.D.,,Georgian Court University,,Assistant Professor,Biology
Christopher,Perrin,"Ohio State University, Columbus",172,Ph.D.,,Georgian Court University,,Assistant Professor,Psychology and Counseling
Kathryn,Quinn-Sanchez,"University of North Carolina, Raleigh",105,Ph.D.,,Georgian Court University,,Associate Professor,World Languages
Pamela J.,Rader,"University of Colorado, Denver",163,Ph.D.,,Georgian Court University,,Associate Professor and Chair,Department of English
Stephanie A.,Rahill,"University of Maryland, Baltimore",192,Ph.D.,,Georgian Court University,,Assistant Professor,Psychology and Counseling
Jaime,Rivera Flores,"Florida State University, Tallahassee",226,Ph.D.,,Georgian Court University,,Assistant Professor of World Languages and Cultures,World Languages and Cultures
Melisa,Salsali,University of Miami,175,Ph.D.,,Georgian Court University,,Program Director and Assistant Professor,Exercise Science
Beth,Schaefer,Boston College,328,Ph.D.,,Georgian Court University,,Professor,Physics Department
Judith,Schubert,Fordham University,338,Ph.D.,,Georgian Court University,,Professor,Religious Studies/Theology Department
Hyuksoon,Song,New York University,72,Ph.D.,,Georgian Court University,,Assistant Professor of Education,Department of Teacher Education/School of Education
Joseph,Springer,Temple University,303,Ph.D.,,Georgian Court University,,Professor,Psychology and Counseling
Anne,Tabor-Morris,University of Notre Dame,116,Ph.D.,,Georgian Court University,,Associate Professor and Chair,Physics Department
Michael,Tirpak,"University of Missouri, St. Louis",158,Ph.D.,,Georgian Court University,,Director of School Counseling,Education Department
Benedict,Trigani,Fordham University,338,Ph.D.,,Georgian Court University,,Professor,Education Department
Christopher,Trigani,Fordham University,338,Ph.D.,,Georgian Court University,,Professor,Psychology and Counseling
Geraldine,Velasquez,Rutgers University,233,Ph.D.,,Georgian Court University,,Professor of Art & Design,"Department of Communication, Graphic Design & Multimedia"
Johann,Vento,Fordham University,338,Ph.D.,,Georgian Court University,,Professor,Religious Studies/Theology Department
Janice,Warner,Rutgers University,233,Ph.D.,,Georgian Court University,,Dean and Professor,School of Business
Andrew,Weber,"Ph.D., Analytical Chemistry, Seton Hall University,",,Ph.D.,,Georgian Court University,,Assistant Professor,Chemistry & Biochemistry Department
David M.,Wilson,"University of Florida, Gainesville",220,Ph.D.,,Georgian Court University,,"Assistant Professor, Director of ABA Internships",Psychology and Counseling
Louise,Wootton,"University of Maryland, Baltimore",192,Ph.D.,,Georgian Court University,,Professor and Chair,Biology Department
Michael,Wortley,"University of Tennessee, Knoxville",65,Ph.D.,,Georgian Court University,,Assistant Professor,"Exercise Science, Wellness, and Sports"
Mark,Arvidson,Claremont Graduate School,,Ph.D.,,Azusa Pacific University,,Professor,Mathematics and Physics
Christopher,Bassey,University of Ilorin,,Ph.D.,,Azusa Pacific University,,Professor,Mathematics and Physics
Joseph,Bentz,Purdue University,185,Ph.D.,,Azusa Pacific University,,Professor,English
Nancy,Brashear,Claremont Graduate School,,Ph.D.,,Azusa Pacific University,,Professor,English
Kimberly,Denu,"University of Florida, Gainesville",220,Ph.D.,,Azusa Pacific University,,Professor,"Global Studies, Sociology, and TESOL"
Mark,Eaton,Boston University,327,Ph.D.,,Azusa Pacific University,,Professor,English
Brian,Eck,Biola University,,Ph.D.,,Azusa Pacific University,,Chair Emeritus and Professor,Psychology
Kathryn,Ecklund,Rosemead School of Psychology,,Ph.D.,,Azusa Pacific University,,Chair,Psychology
David,Esselstrom,University of Southern California,4,Ph.D.,,Azusa Pacific University,,Chair and Professor,English
Christopher,Flannery,Claremont Graduate School,,Ph.D.,,Azusa Pacific University,,Professor,History and Political Science
Diana,Glyer,"University of Illinois, Springfield",125,Ph.D.,,Azusa Pacific University,,Professor,English
Emily,Griesinger,Vanderbilt University,56,Ph.D.,,Azusa Pacific University,,Professor,English
Diane,Guido,Claremont Graduate University,,Ph.D.,,Azusa Pacific University,,Vice Provost for Graduate Programs and Research; Research Integrity Officer; Professor,History and Political Science
Paul,Hertig,Fuller Theological Seminary,,Ph.D.,,Azusa Pacific University,,Professor,"Global Studies, Sociology, and TESOL"
Andrea,Ivanov-Craig,University of Southern California,4,Ph.D.,1994,Azusa Pacific University,,Professor,English
Scott,Kinnes,Duke University,20,Ph.D.,,Azusa Pacific University,,Professor,Biology and Chemistry
Carole,Lambert,University of California,,Ph.D.,,Azusa Pacific University,,Professor,English
Bryan,Lamkin,University of California,,Ph.D.,1997,Azusa Pacific University,,Professor,History and Political Science
Edmund,Mazza,City University of New York,,Ph.D.,2004,Azusa Pacific University,,Professor,History and Political Science
Jon,Milhon,University of Southern California,4,Ph.D.,,Azusa Pacific University,,Professor,Biology and Chemistry
Bala,Musa,Regent University,,Ph.D.,,Azusa Pacific University,,Chair and Professor,Communication Studies
Christopher,Noble,University of California,,Ph.D.,2000,Azusa Pacific University,,Professor,"English, High Sierra Program"
Alan,Oda,University of California,,Ph.D.,,Azusa Pacific University,,Professor,Psychology
Daniel,Palm,Claremont Graduate School,,Ph.D.,1991,Azusa Pacific University,,Chair and Professor,History and Political Science
Richard,Robison,University of California,,Ph.D.,,Azusa Pacific University,,Director,"Global Studies, Sociology, and TESOL"
Maximo,Rossi,City University of New York,,Ph.D.,,Azusa Pacific University,,Professor,Modern Languages
Cahleen,Shrier,Loma Linda University,,Ph.D.,,Azusa Pacific University,,Professor,Biology and Chemistry
Richard,Slimbach,University of California,,Ph.D.,,Azusa Pacific University,,Professor,"Global Studies, Sociology, and TESOL"
Bruce,Spalding,University of Washington,24,Ph.D.,,Azusa Pacific University,,Chair and Professor,Biology and Chemistry
Annie,Tsai,Stanford University,232,Ph.D.,2005,Azusa Pacific University,,Vice President for Alumni,Psychology
David,Weeks,"Loyola University, New Orleans",335,Ph.D.,,Azusa Pacific University,,Dean,History and Political Science
Leslie,Wickman,Stanford University,232,Ph.D.,,Azusa Pacific University,,Chair,Engineering & Computer Science
Jim,Willis,"University of Missouri, St. Louis",158,Ph.D.,,Azusa Pacific University,,Professor,Communication Studies
Mary,Wong,University of Southern California,4,Ph.D.,2000,Azusa Pacific University,,Director,"Global Studies, Sociology, and TESOL"
Sarah,Adams,"Ohio State University, Columbus",172,Ph.D.,,Azusa Pacific University,,Associate Professor,English
Thomas,Allbaugh,"Southern Illinois University, Carbondale",131,Ph.D.,,Azusa Pacific University,,Associate Professor,English
Patricia,Andujo,"University of Illinois, Springfield",125,Ph.D.,,Azusa Pacific University,,Director,English
Grace,Bahng,University of Southern California,4,Ph.D.,,Azusa Pacific University,,Associate Professor,"Global Studies, Sociology, and TESOL"
Marcia,Berry,Regent University,,Ph.D.,,Azusa Pacific University,,Associate Professor,Communication Studies
Michael,Clark,"University of Wisconsin, River Falls",19,Ph.D.,,Azusa Pacific University,,Associate Professor,English
Juanita,Cole,Howard University,,Ph.D.,,Azusa Pacific University,,Associate Professor,"Psychology, Director of Assessment"
Eric,Drewry,University of Delaware,279,Ph.D.,,Azusa Pacific University,,Associate Professor,English
Paul,Flores,Claremont Graduate University,,Ph.D.,,Azusa Pacific University,,Director,
James,Fujitani,University of California,,Ph.D.,2007,Azusa Pacific University,,Associate Professor,Modern Languages
Bradley,Hale,"University of Connecticut, Storrs",277,Ph.D.,,Azusa Pacific University,,Director,History and Political Science
Nori,Henk,"Loyola University, New Orleans",335,Ph.D.,,Azusa Pacific University,,Associate Professor,"Global Studies, Sociology, and TESOL"
Skyla,Herod,Oregon Health and Science University,,Ph.D.,,Azusa Pacific University,,Associate Professor,Biology and Chemistry
Timothy,Heumier,"Montana State University, Billings",272,Ph.D.,,Azusa Pacific University,,Associate Professor,Mathematics and Physics
Kevin,Huang,University of California,,Ph.D.,2002,Azusa Pacific University,,Director of Undergraduate Research; Associate Professor,Biology and Chemistry
Christine,Kern,"University of Wisconsin, River Falls",19,Ph.D.,,Azusa Pacific University,,Associate Professor,English
Stephen,Lambert,California School of Professional Psychology,,Psy.D.,,Azusa Pacific University,,Associate Professor,Psychology
Simon,Lin,University of California,,Ph.D.,,Azusa Pacific University,,Associate Professor,Engineering & Computer Science
Adrien,Lowery,University of Southern California,4,Ph.D.,2001,Azusa Pacific University,,Associate Professor,English
Bryant,Mathews,University of California,,Ph.D.,,Azusa Pacific University,,Associate Professor,Mathematics and Physics
Bradley,McCoy,"University of Minnesota, Duluth",188,Ph.D.,2007,Azusa Pacific University,,Associate Professor,Mathematics and Physics
David,Miyahara,Stanford University,232,Ph.D.,,Azusa Pacific University,,Associate Professor,"Global Studies, Sociology, and TESOL"
Joshua,Morris,University of California,,Ph.D.,,Azusa Pacific University,,Associate Professor,Biology and Chemistry
Daniel,Pawley,University of Edinburgh,,Ph.D.,,Azusa Pacific University,,Associate Professor,Communication Studies
Carol,Peirce,Bowling Green University,,Ph.D.,,Azusa Pacific University,,Associate Professor,"Global Studies, Sociology, and TESOL"
Sarah,Richart,"Colorado State University, Fort Collins",164,Ph.D.,2001,Azusa Pacific University,,Associate Professor,Biology and Chemistry
Marcela,Rojas,University of California,,Ph.D.,,Azusa Pacific University,,Associate Professor,Modern Languages
César,Solórzano,University of California,,Ph.D.,2006,Azusa Pacific University,,Chair and Associate Professor,Modern Languages
Theodore,Szeto,University of California,,Ph.D.,,Azusa Pacific University,,Chair and Associate Professor,Mathematics and Physics
Willetta,Toole-Simms,Purdue University,185,Ph.D.,1988,Azusa Pacific University,,Associate Professor,Biology and Chemistry
Brooke,Dam,City University,,Ph.D.,,Azusa Pacific University,,Associate Professor,Communication Studies
Thomas,Walters,Stanford University,232,Ph.D.,,Azusa Pacific University,,Associate Professor,Biology and Chemistry
David,Williams,"University of Utah, Salt Lake",63,Ph.D.,,Azusa Pacific University,,Associate Professor of Philosophy,"Theology and Philosophy, High Sierra Campus"
Scott,Wood,Baylor College of Medicine,283,Ph.D.,,Azusa Pacific University,,Associate Professor,
Chong,Yu,Arizona State University,23,Ph.D.,,Azusa Pacific University,,Associate Professor,Psychology
Cristian,Aguilar,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Starla,Anderson,Regent University,,JD,,Azusa Pacific University,,Assistant Professor,Communication Studies
Rachel,Castaneda,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Psychology
Michael,Chamberlain,World Learning’s School for International Training,,M.A.,,Azusa Pacific University,,Assistant Director and Assistant Professor,"Global Studies, Sociology, and TESOL"
Enson,Chang,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Mathematics and Physics
Charles,Chen,"University of Illinois, Springfield",125,Ph.D.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Priscila,Diaz,Arizona State University,23,Ph.D.,,Azusa Pacific University,,Assistant Professor,"Psychology, Director of Student Development"
Edwin,Ding,University of Washington,24,Ph.D.,,Azusa Pacific University,,Assistant Professor,Mathematics and Physics
Daniel,Grissom,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Engineering and Computer Science
Juan,Guerrero,Biola University,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Modern Languages
Andre,Harmse,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Mathematics and Physics
Douglas,Hume,Pepperdine University,,J.D.,,Azusa Pacific University,,Assistant Professor of Political Science and Pre-Law Advisor,
Amy,Jung,California State University,,M.A.,,Azusa Pacific University,,Director of Forensics; Assistant Professor,Communication Studies
Yun,Kim,University of California,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Modern Languages
Joyce,Lacy,University of California,,Ph.D.,2012,Azusa Pacific University,,Assistant Professor,Psychology
David,Lambert,Claremont Graduate University,,Ph.D.,2008,Azusa Pacific University,,Assistant Professor,History and Political Science
Robert,Linsalato,Pepperdine University,,M.A.,,Azusa Pacific University,,Assistant Professor,Psychology
Katie,Manning,"University of Louisiana, Monroe",242,Ph.D.,2012,Azusa Pacific University,,Assistant Professor,English
Benjamin,Marsh,Claremont Graduate University,,Ph.D.,,Azusa Pacific University,,Assistant Professor,
Sharon,McCathern,University of Chicago,122,M.S.,,Azusa Pacific University,,Assistant Professor,Mathematics and Physics
Carrie,Miller,University of Notre Dame,116,Ph.D.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Ryan,Montague,"University of Missouri, St. Louis",158,Ph.D.,,Azusa Pacific University,,Assistant Professor,Communication Studies
Tolulope,Noah,University of Southern California,4,Ph.D.,,Azusa Pacific University,,Assistant Professor of Liberal Studies,
Ron,Norris,University of California,,B.A.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Gewn,Park,Inje University Paik Hospital,,Postdoctoral,,Azusa Pacific University,,Assistant Professor,Psychology
Marian,Saleh,Azusa Pacific University,,M.A.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
Ethan,Schrum,University of Pennsylvania,,Ph.D.,,Azusa Pacific University,,Assistant Professor,History and Political Science
Kristen,Sipper-Denlinger,University of Nottingham,,Ph.D.,2008,Azusa Pacific University,,Assistant Professor,English
Matthew,Smith,University of Southern California,4,Ph.D.,2012,Azusa Pacific University,,Assistant Professor,English
Caleb,Spencer,"University of Illinois, Springfield",125,Ph.D.,2011,Azusa Pacific University,,Assistant Professor,English
William,Whitney,Fuller Theological Seminary,,Ph.D.,,Azusa Pacific University,,Assistant Professor,Psychology
Jennifer,Young,"Texas A&M, International University",52,Ph.D.,,Azusa Pacific University,,Assistant Professor,Biology and Chemistry
David,Bicker,University of California,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,Communication Studies
Ralph,Carlson,"University of Oregon, Eugene",146,Ph.D.,,Azusa Pacific University,,Professor Emeritus,English
David,Cherney,Bowling Green University,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,Biology and Chemistry
Richard,Eckhart,Penn State University,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,Engineering & Computer Science
James,Hedges,University of California,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,English
James,White,University of the Pacific,,Ph.D.,,Azusa Pacific University,,Professor Emeritus,Biology and Chemistry
Gary,Wood,"Miami University, Ohio",174,M.S.,1969,Azusa Pacific University,,Professor Emeritus,Mathematics and Physics
June,Hamlow,California State University,,M.A.,,Azusa Pacific University,,Professor Emerita,Modern Languages
Gail,Bouslough,Claremont Graduate University,,Ph.D.,,Azusa Pacific University,,Lecturer,English
Denise,Gehring,Drexel University,,M.S.,,Azusa Pacific University,,Assistant Professor,"Global Studies, Sociology, and TESOL"
Piljoo,Kang,University of California,,Ph.D.,,Azusa Pacific University,,Lecturer,Psychology
Brian,Plummer,Claremont Graduate University,,Ph.D.,,Azusa Pacific University,,Lecturer,History and Political Science
Elizabeth,Rivas,University of Southern California,4,M.A.,,Azusa Pacific University,,Instructor,Mathematic and Physics
Jennifer,Thomas,Azusa Pacific University,,M.A.,,Azusa Pacific University,,Assistant Professor,"Global Studies, Sociology, and TESOL"
Rodney,Ulrich,Azusa Pacific University,,M.S.,2002,Azusa Pacific University,,Lecturer/Lab Manager,Engineering & Computer Science and APS
James,Aksel,Azusa Pacific University,,M.S.,,Azusa Pacific University,,Adjunct Professor,Engineering & Computer Science
Hau-Ming,Chau,Fuller Theological Seminary (in progress),,Ph.D.,,Azusa Pacific University,,Adjunct Professor,Engineering & Computer Science
Daniel,Horner,Azusa Pacific University,,M.S.,,Azusa Pacific University,,Adjunct Professor,Engineering & Computer Science
Shawna,Lafreniere,Azusa Pacific University,,Ph.D.,,Azusa Pacific University,,Director of Curricular Effectiveness; Adjunct Professor,"Communication Studies, M.A. in Leadership Program, Leadership Minor"
Peter,Alces,,,J.D.,,University of Illinois,359.0,,Law School
Angela,Banks,,,J.D.,,Harvard Law School,359.0,,Law School
Jayne,Barnard,,,J.D.,,University of Chicago Law School,359.0,,Law School
Judge,Barzilay,,,J.D.,,Rutgers University,359.0,,Law School
Jeffrey,Bellin,,,J.D.,,Stanford Law School,359.0,,Law School
Aaron-Andrew,Bruhl,,,J.D.,,Yale University,359.0,,Law School
Lynda,Butler,,,J.D.,,University of Virginia,359.0,,Law School
Anna,Chason,,,J.D.,,"University of North Carolina, Chapel Hill",359.0,,Law School
Eric,Chason,,,J.D.,,University of Virginia,359.0,,Law School
Nancy,Combs,,,Ph.D.,,Leiden University,359.0,,Law School
Evan,Criddle,,,J.D.,,Yale Law School,359.0,,Law School
Neal,Devins,,,J.D.,,Vanderbilt University,359.0,,Law School
Davison,Douglas,,,Ph.D.,,Yale,359.0,,Law School
James,Dwyer,,,Ph.D.,,Stanford University,359.0,,Law School
Jennifer,Franklin,,,J.D.,,Regent University School of Law,359.0,,Law School
Adam,Gershowitz,,,J.D.,,University of Virginia School of Law,359.0,,Law School
Michael,Green,,,J.D.,,Yale,359.0,,Law School
Rebecca,Green,,,J.D.,,Harvard Law School,359.0,,Law School
Christopher,Griffin,,,J.D.,,Yale Law School,359.0,,Law School
Tara,Grove,,,J.D.,,Harvard Law School,359.0,,Law School
Susan,Grover,,,J.D.,,Georgetown University,359.0,,Law School
Vivian,Hamilton,,,J.D.,,Harvard Law School,359.0,,Law School
James,Heller,,,M.L.S.,,University of California-Berkeley,359.0,,Law School
Erin,Hendrickson,,,J.D.,,"UC Berkeley, Boalt Hall School of Law",359.0,,Law School
Laura,Heymann,,,J.D.,,University of California Berkeley,359.0,,Law School
Roy,Hoagland,,,J.D.,,University of Maryland,359.0,,Law School
Darian,Ibrahim,,,J.D.,,Cornell Law School,359.0,,Law School
Eric,Kades,,,J.D.,,Yale University,359.0,,Law School
Robert,Kaplan,,,J.D.,,University of Virginia,359.0,,Law School
Stacy,Kern-Scheerer,,,J.D.,,Boston University School of Law,359.0,,Law School
Laura,Killinger,,,J.D.,,University of Virginia School of Law,359.0,,Law School
Allison,Larsen,,,J.D.,,University of Virginia,359.0,,Law School
Fredric,Lederer,,,LL.M.,,University of Virginia School of Law,359.0,,Law School
John,Lee,,,LL.M.,,Georgetown University Law Center,359.0,,Law School
Mason,Lowe,,,J.D.,,Georgetown University Law Center,359.0,,Law School
Linda,Malone,,,LL.M.,,University of Illinois Urbana,359.0,,Law School
Paul,Marcus,,,J.D.,,University of California Los Angeles,359.0,,Law School
Thomas,McSweeney,,,Ph.D.,,Cornell University,359.0,,Law School
Alan,Meese,,,J.D.,,Chicago,359.0,,Law School
Nathan,Oman,,,J.D.,,Harvard Law School,359.0,,Law School
Sarah,Rajec,,,J.D.,,University of Michigan Law School,359.0,,Law School
W.,Reveley,,,J.D.,,University of Virginia,359.0,,Law School
William,Richardson,,,J.D.,,"University of California, Hastings College of the Law",359.0,,Law School
Patricia,Roberts,,,J.D.,,William & Mary Law School,359.0,,Law School
Ronald,Rosenberg,,,J.D.,,University of North Carolina-Chapel Hill,359.0,,Law School
Sarah,Stafford,,,Ph.D.,,The Johns Hopkins University,359.0,,Law School
James,Stern,,,J.D.,,University of Virginia School of Law,359.0,,Law School
Jennifer,Stevenson,,,J.D.,,University of Washington,359.0,,Law School
Cynthia,Ward,,,J.D.,,Yale Law School,359.0,,Law School
Christie,Warren,,,J.D.,,UC Davis,359.0,,Law School
Timothy,Zick,,,J.D.,,Georgetown University,359.0,,Law School
